bairro,regiao_adm,area_bairro_km2,urb1977_km2,urb2002_km2,urb2024_km2,crescimento_1977_2024_km2,pct_urb_1977,pct_urb_2002,pct_urb_2024,pop_estimada,densidade_pop_bairro,dom_estima,densidade0,media_mora,distrito_a,legislacao,crescimento_por_1000_hab_km2,area_urb_2024_por_1000_hab_km2,hab_por_km2_urb_2024,dom_por_km2_urb_2024,crescimento_relativo_1977_2024_pct,perfil_socio_urbano
Campeche,Região Sul da Ilha,15.3917,0.9542,5.0052,9.8353,8.8811,6.1996,32.5188,63.9001,30934,2011.31,16678,1084.39,1.85,Campeche,"Decreto Municipal nº 29.142, de 10 de abril de 2026.",0.28709833839787935,0.31794465636516456,3145.20146818094,1695.7286508799934,930.7377908195347,Alta expansão e alta densidade
Rio Vermelho,Região Leste da Ilha,18.0295,0.6246,3.2574,8.3665,7.7419,3.4643,18.0671,46.4046,30751,1707.44,14048,780.01,2.19,Rio Vermelho,"Decreto Municipal nº 29.142, de 10 de abril de 2026.",0.2517609183441189,0.2720724529283601,3675.491543656248,1679.0772724556266,1239.497278258085,Alta expansão e baixa densidade
Ingleses,Região Norte da Ilha,16.6992,1.6509,5.8764,7.955,6.3041,9.8864,35.1896,47.6372,46320,2775.31,30137,1805.69,1.54,Ingleses,"Decreto Municipal nº 29.142, de 10 de abril de 2026.",0.13609887737478413,0.1717400690846287,5822.752985543683,3788.4349465744813,381.85838027742443,Alta expansão e alta densidade
Rio Tavares,Região Sul da Ilha,17.738,0.7428,2.3259,4.1193,3.3765,4.1874,13.1123,23.223,14936,842.41,7667,432.43,1.95,Campeche,"Decreto Municipal nº 29.142, de 10 de abril de 2026.",0.2260645420460632,0.2757967327262989,3625.858762411089,1861.238559949506,454.5638126009693,Alta expansão e baixa densidade
Carianos,Região Sul da Ilha,21.3581,2.0648,3.9107,5.2784,3.2135,9.6676,18.3103,24.7137,9577,448.78,3930,184.16,2.44,Tapera da Base,"Decreto Municipal nº 29.142, de 10 de abril de 2026.",0.3355434896105252,0.5511538059935263,1814.3755683540464,744.5438011518642,155.6325067803177,Alta expansão e baixa densidade
Jurerê,Região Norte da Ilha,12.8739,0.9254,3.7513,3.649,2.7235,7.1885,29.1384,28.344,8134,632.5,7501,583.28,1.08,Canasvieiras,"Decreto Municipal nº 29.142, de 10 de abril de 2026.",0.3348291123678387,0.44861076960904844,2229.1038640723486,2055.6316799123047,294.30516533390966,Alta expansão e baixa densidade
Ratones,Região Norte da Ilha,26.5297,0.4699,1.2486,3.0291,2.5592,1.7711,4.7063,11.4177,3925,148.06,1663,62.73,2.36,Ratones,"Decreto Municipal nº 29.142, de 10 de abril de 2026.",0.6520254777070065,0.7717452229299363,1295.7644184741341,549.007956158595,544.6265162800596,Alta expansão e baixa densidade
Canasvieiras,Região Norte da Ilha,14.4314,2.0861,3.3326,4.5129,2.4268,14.4555,23.0928,31.2715,15979,1108.11,12381,858.6,1.29,Canasvieiras,"Decreto Municipal nº 29.142, de 10 de abril de 2026.",0.15187433506477252,0.2824269353526504,3540.7387710784637,2743.4687229940837,116.33191122189731,Alta expansão e baixa densidade
Cachoeira do Bom Jesus,Região Norte da Ilha,9.0889,0.8879,1.8129,3.2036,2.3157,9.7689,19.9466,35.2474,6616,728.63,4840,533.04,1.37,Cachoeira do Bom Jesus,"Decreto Municipal nº 29.142, de 10 de abril de 2026.",0.3500151148730351,0.4842200725513905,2065.176676239231,1510.8003496066926,260.8063971167924,Alta expansão e baixa densidade
Lagoa da Conceição,Região Leste da Ilha,19.6589,2.122,3.4981,4.1935,2.0715,10.7943,17.7942,21.3313,12468,634.83,7228,368.02,1.72,Lagoa da Conceição,"Decreto Municipal nº 29.142, de 10 de abril de 2026.",0.1661453320500481,0.3363410330445942,2973.172767378085,1723.6198879217836,97.62016965127238,Alta expansão e baixa densidade
Santo Antônio de Lisboa,Região Norte da Ilha,14.3196,0.4848,1.3697,2.2261,1.7413,3.3859,9.5653,15.546,2857,199.65,1351,94.41,2.11,Santo Antônio de Lisboa,"Decreto Municipal nº 29.142, de 10 de abril de 2026.",0.6094854742737137,0.7791739586979349,1283.4104487669017,606.8909752481918,359.17904290429044,Alta expansão e baixa densidade
Saco Grande,Região Central,11.0385,0.6424,1.8376,2.1986,1.5562,5.8193,16.6476,19.9177,9331,845.96,3986,361.38,2.34,Saco Grande,"Decreto Municipal nº 29.142, de 10 de abril de 2026.",0.16677740863787377,0.23562319151216377,4244.064404621123,1812.9718912034932,242.2478206724782,Alta expansão e baixa densidade
Vargem do Bom Jesus,Região Norte da Ilha,5.1218,0.5471,0.89,1.8601,1.313,10.681,17.3765,36.3167,7900,1542.97,3273,639.26,2.41,Cachoeira do Bom Jesus,"Decreto Municipal nº 29.142, de 10 de abril de 2026.",0.1662025316455696,0.23545569620253165,4247.083490134939,1759.5828181280576,239.9926887223542,Alta expansão e baixa densidade
Vargem Grande,Região Norte da Ilha,10.2654,0.6087,1.4537,1.8604,1.2518,5.9293,14.1608,18.1231,7412,722.42,3233,315.11,2.29,Cachoeira do Bom Jesus,"Decreto Municipal nº 29.142, de 10 de abril de 2026.",0.1688882892606584,0.2509983810037777,3984.0894431305096,1737.7983229413028,205.65138820436997,Alta expansão e baixa densidade
Tapera da Base,Região Sul da Ilha,3.5661,0.4636,1.3977,1.662,1.1984,13.0008,39.1936,46.6046,13631,3828.93,5419,1522.19,2.51,Tapera da Base,"Decreto Municipal nº 29.142, de 10 de abril de 2026.",0.08791724745066391,0.12192795833027657,8201.564380264741,3260.5294825511432,258.4987057808455,Alta expansão e alta densidade
Alto Ribeirão,Região Sul da Ilha,7.8175,0.5621,0.7802,1.7149,1.1528,7.1899,9.9805,21.9368,7395,946.86,3146,402.82,2.35,Ribeirão da Ilha,"Decreto Municipal nº 29.142, de 10 de abril de 2026.",0.1558891142663962,0.2318999323867478,4312.204793282407,1834.5093008338677,205.0880626223092,Alta expansão e baixa densidade
Saco dos Limões,Região Central,3.1292,0.8162,1.2402,1.9569,1.1407,26.0828,39.6312,62.5362,11469,3664.22,5090,1626.2,2.25,Saco dos Limões,"Decreto Municipal nº 29.142, de 10 de abril de 2026.",0.09945941232888657,0.17062516348417475,5860.800245285911,2601.0526853697174,139.75741239892184,Alta expansão e alta densidade
Córrego Grande,Região Central,6.6036,1.3572,1.8307,2.4346,1.0774,20.5527,27.7222,36.8679,12812,1941.21,6231,944.1,2.06,Trindade,"Decreto Municipal nº 29.142, de 10 de abril de 2026.",0.08409303777708398,0.19002497658445208,5262.466113529943,2559.352665735644,79.38402593575007,Alta expansão e alta densidade
Ribeirão da Ilha,Região Sul da Ilha,22.3528,0.9691,1.2948,2.0423,1.0733,4.3353,5.7926,9.1368,4434,198.48,2787,124.75,1.59,Ribeirão da Ilha,"Decreto Municipal nº 29.142, de 10 de abril de 2026.",0.24206134415877312,0.4605999097880018,2171.0816236595992,1364.637908240709,110.75224435042823,Alta expansão e baixa densidade
Pântano do Sul,Região Sul da Ilha,34.636,0.8277,0.9726,1.885,1.0573,2.3898,2.8081,5.4423,4432,128.06,3053,88.21,1.45,Pântano do Sul,"Decreto Municipal nº 29.142, de 10 de abril de 2026.",0.2385604693140794,0.4253158844765343,2351.1936339522545,1619.628647214854,127.73951914945027,Alta expansão e baixa densidade
Santinho,Região Norte da Ilha,2.9861,0.2307,1.0347,1.2768,1.0461,7.7259,34.6493,42.7587,4993,1675.5,3232,1084.56,1.54,Ingleses,"Decreto Municipal nº 29.142, de 10 de abril de 2026.",0.20951331864610456,0.2557180052072902,3910.5576441102758,2531.3283208020052,453.44603381014304,Alta expansão e baixa densidade
Itacorubi,Região Central,12.8061,2.3441,2.8145,3.3789,1.0348,18.3044,21.9779,26.3851,23600,1843.75,12348,964.69,1.91,Trindade,"Decreto Municipal nº 29.142, de 10 de abril de 2026.",0.04384745762711864,0.1431737288135593,6984.521589866525,3654.4437538844004,44.144874365428095,Alta expansão e alta densidade
Vargem Pequena,Região Norte da Ilha,5.8564,0.1494,0.5026,1.103,0.9536,2.5508,8.5822,18.8342,1898,324.44,848,144.96,2.24,Ratones,"Decreto Municipal nº 29.142, de 10 de abril de 2026.",0.5024236037934668,0.5811380400421496,1720.7615593834996,768.8123300090662,638.2864792503347,Alta expansão e baixa densidade
Barra da Lagoa,Região Leste da Ilha,8.1095,0.8764,1.4841,1.7672,0.8908,10.8066,18.3002,21.7913,6537,807.04,4301,530.99,1.52,Barra da Lagoa,"Decreto Municipal nº 29.142, de 10 de abril de 2026.",0.1362704604558666,0.2703380755698333,3699.0719782707106,2433.793571751924,101.64308534915565,Alta expansão e baixa densidade
Monte Verde,Região Central,5.0541,0.1531,0.7883,0.9654,0.8123,3.0302,15.5966,19.1017,7525,1490.1,3092,612.28,2.43,Saco Grande,"Decreto Municipal nº 29.142, de 10 de abril de 2026.",0.1079468438538206,0.12829235880398673,7794.696498860576,3202.817484980319,530.5682560418027,Alta expansão e baixa densidade
Ponta das Canas,Região Norte da Ilha,3.1079,0.4126,1.0818,1.1933,0.7807,13.2761,34.8069,38.3975,5506,1776.13,4655,1501.61,1.18,Cachoeira do Bom Jesus,"Decreto Municipal nº 29.142, de 10 de abril de 2026.",0.14179077370141663,0.21672720668361786,4614.09536579234,3900.9469538255257,189.21473582161897,Alta expansão e baixa densidade
Cacupé,Região Norte da Ilha,1.8894,0.2885,0.7039,1.0627,0.7742,15.2709,37.2523,56.2447,1494,790.48,692,366.14,2.16,Santo Antônio de Lisboa,"Decreto Municipal nº 29.142, de 10 de abril de 2026.",0.5182061579651941,0.7113119143239626,1405.853015902889,651.1715441799191,268.35355285961873,Alta expansão e baixa densidade
