bairro,regiao_adm,area_bairro_km2,urb1977_km2,urb2002_km2,urb2024_km2,crescimento_1977_2024_km2,pct_urb_1977,pct_urb_2002,pct_urb_2024,pop_estimada,densidade_pop_bairro
Campeche,Região Sul da Ilha,15.3917,0.9542,5.0052,9.8353,8.8811,6.1996,32.5188,63.9001,30934,2011.31
Rio Vermelho,Região Leste da Ilha,18.0295,0.6246,3.2574,8.3665,7.7419,3.4643,18.0671,46.4046,30751,1707.44
Ingleses,Região Norte da Ilha,16.6992,1.6509,5.8764,7.955,6.3041,9.8864,35.1896,47.6372,46320,2775.31
Rio Tavares,Região Sul da Ilha,17.738,0.7428,2.3259,4.1193,3.3765,4.1874,13.1123,23.223,14936,842.41
Carianos,Região Sul da Ilha,21.3581,2.0648,3.9107,5.2784,3.2135,9.6676,18.3103,24.7137,9577,448.78
Jurerê,Região Norte da Ilha,12.8739,0.9254,3.7513,3.649,2.7235,7.1885,29.1384,28.344,8134,632.5
Ratones,Região Norte da Ilha,26.5297,0.4699,1.2486,3.0291,2.5592,1.7711,4.7063,11.4177,3925,148.06
Canasvieiras,Região Norte da Ilha,14.4314,2.0861,3.3326,4.5129,2.4268,14.4555,23.0928,31.2715,15979,1108.11
Cachoeira do Bom Jesus,Região Norte da Ilha,9.0889,0.8879,1.8129,3.2036,2.3157,9.7689,19.9466,35.2474,6616,728.63
Lagoa da Conceição,Região Leste da Ilha,19.6589,2.122,3.4981,4.1935,2.0715,10.7943,17.7942,21.3313,12468,634.83
Santo Antônio de Lisboa,Região Norte da Ilha,14.3196,0.4848,1.3697,2.2261,1.7413,3.3859,9.5653,15.546,2857,199.65
Saco Grande,Região Central,11.0385,0.6424,1.8376,2.1986,1.5562,5.8193,16.6476,19.9177,9331,845.96
Vargem do Bom Jesus,Região Norte da Ilha,5.1218,0.5471,0.89,1.8601,1.313,10.681,17.3765,36.3167,7900,1542.97
Vargem Grande,Região Norte da Ilha,10.2654,0.6087,1.4537,1.8604,1.2518,5.9293,14.1608,18.1231,7412,722.42
Tapera da Base,Região Sul da Ilha,3.5661,0.4636,1.3977,1.662,1.1984,13.0008,39.1936,46.6046,13631,3828.93
Alto Ribeirão,Região Sul da Ilha,7.8175,0.5621,0.7802,1.7149,1.1528,7.1899,9.9805,21.9368,7395,946.86
Saco dos Limões,Região Central,3.1292,0.8162,1.2402,1.9569,1.1407,26.0828,39.6312,62.5362,11469,3664.22
Córrego Grande,Região Central,6.6036,1.3572,1.8307,2.4346,1.0774,20.5527,27.7222,36.8679,12812,1941.21
Ribeirão da Ilha,Região Sul da Ilha,22.3528,0.9691,1.2948,2.0423,1.0733,4.3353,5.7926,9.1368,4434,198.48
Pântano do Sul,Região Sul da Ilha,34.636,0.8277,0.9726,1.885,1.0573,2.3898,2.8081,5.4423,4432,128.06
Santinho,Região Norte da Ilha,2.9861,0.2307,1.0347,1.2768,1.0461,7.7259,34.6493,42.7587,4993,1675.5
Itacorubi,Região Central,12.8061,2.3441,2.8145,3.3789,1.0348,18.3044,21.9779,26.3851,23600,1843.75
Vargem Pequena,Região Norte da Ilha,5.8564,0.1494,0.5026,1.103,0.9536,2.5508,8.5822,18.8342,1898,324.44
Barra da Lagoa,Região Leste da Ilha,8.1095,0.8764,1.4841,1.7672,0.8908,10.8066,18.3002,21.7913,6537,807.04
Monte Verde,Região Central,5.0541,0.1531,0.7883,0.9654,0.8123,3.0302,15.5966,19.1017,7525,1490.1
Ponta das Canas,Região Norte da Ilha,3.1079,0.4126,1.0818,1.1933,0.7807,13.2761,34.8069,38.3975,5506,1776.13
Cacupé,Região Norte da Ilha,1.8894,0.2885,0.7039,1.0627,0.7742,15.2709,37.2523,56.2447,1494,790.48
Costeira do Pirajubaé,Região Central,4.1931,0.6754,0.8524,1.4279,0.7524,16.1084,20.3292,34.0527,8535,2036.99
Morro das Pedras,Região Sul da Ilha,1.5436,0.215,0.6103,0.9374,0.7224,13.9312,39.5412,60.7329,3222,2092.21
Sambaqui,Região Norte da Ilha,5.3386,0.4596,0.682,1.1421,0.6825,8.6093,12.7748,21.3929,3700,694.18
João Paulo,Região Central,2.8689,0.6252,0.9874,1.2819,0.6567,21.7921,34.4195,44.684,6034,2102.44
Armação,Região Sul da Ilha,7.9601,0.7762,0.9548,1.345,0.5688,9.7509,11.995,16.8966,5133,645.66
Centro,Região Central,5.3939,4.1957,4.6351,4.6659,0.4702,77.7863,85.9322,86.5038,42308,7849.35
Praia Brava,Região Norte da Ilha,2.5819,0.0,0.3529,0.4414,0.4414,0.0,13.6675,17.0972,349,135.27
Pantanal,Região Central,2.313,0.691,0.8032,1.0716,0.3806,29.875,34.7263,46.3296,7690,3329.0
Agronômica,Região Central,1.9746,1.4262,1.8294,1.8006,0.3743,72.2307,92.6462,91.1884,18675,9479.69
Carvoeira,Região Central,0.9806,0.5161,0.8062,0.794,0.2779,52.6285,82.22,80.9678,10740,10959.18
Trindade,Região Central,3.3206,2.4689,2.6676,2.6954,0.2265,74.3498,80.3366,81.1721,17865,5381.02
Coqueiros,Região Continental,1.7715,1.4941,1.5291,1.6632,0.1691,84.3425,86.318,93.8871,13396,7568.36
Estreito,Região Continental,1.5348,1.3882,1.4231,1.5348,0.1467,90.4438,92.7207,100.0,9290,6071.89
José Mendes,Região Central,0.5595,0.335,0.5,0.4707,0.1357,59.8663,89.3567,84.1248,3492,6235.71
Costa da Lagoa,Região Leste da Ilha,10.9807,0.1311,0.0808,0.2226,0.0916,1.1936,0.7358,2.0274,954,86.96
Daniela,Região Norte da Ilha,1.5829,0.6014,0.7004,0.6798,0.0784,37.9922,44.2466,42.9447,1088,688.61
Praia do Forte,Região Norte da Ilha,0.4449,0.0715,0.0287,0.1298,0.0583,16.0728,6.4547,29.1843,170,386.36
Jardim Capoeiras,Região Continental,0.4702,0.4137,0.3779,0.4702,0.0565,87.9788,80.3742,100.0,1545,3287.23
Santa Mônica,Região Central,0.59,0.4861,0.4793,0.5261,0.04,82.3797,81.2355,89.1623,1372,2325.42
Balneário,Região Continental,0.7078,0.6902,0.6865,0.7078,0.0176,97.5107,96.99,100.0,5674,7991.55
Abraão,Região Continental,0.8461,0.7514,0.6583,0.7677,0.0163,88.8166,77.8057,90.7452,7717,9078.84
Jardim Atlântico,Região Continental,1.7853,1.7731,1.7553,1.7853,0.0122,99.3193,98.3201,100.0,12773,7175.84
Bom Abrigo,Região Continental,0.1846,0.1756,0.1767,0.1846,0.009,95.144,95.7169,100.0,1339,7438.89
Itaguaçu,Região Continental,0.4715,0.4585,0.4584,0.4651,0.0066,97.2446,97.2155,98.6436,1761,3746.81
Monte Cristo,Região Continental,0.5887,0.5885,0.5087,0.5887,0.0002,99.973,86.408,100.0,11219,19015.25
Coloninha,Região Continental,0.5962,0.5962,0.5962,0.5962,0.0,100.0,100.0,100.0,4517,3781.67
Canto,Região Continental,0.6805,0.6805,0.6805,0.6805,0.0,100.0,100.0,100.0,6509,9572.06
Capoeiras,Região Continental,2.3961,2.3961,2.3961,2.3961,0.0,100.0,100.0,100.0,17278,7229.29
Moçambique,Região Leste da Ilha,13.5146,0.0129,0.0,0.0,-0.0129,0.0952,0.0,0.0,0,0.0
